iter	Passed	Remaining
0	71	71426
1	81	40896
2	92	30673
3	101	25396
4	104	20708
5	113	18784
6	122	17329
7	131	16248
8	140	15422
9	148	14716
10	157	14150
11	166	13690
12	175	13290
13	184	12964
14	193	12678
15	202	12441
16	210	12199
17	219	11986
18	229	11825
19	238	11671
20	247	11522
21	256	11385
22	261	11094
23	270	10980
24	278	10861
25	287	10767
26	296	10671
27	304	10580
28	313	10509
29	322	10432
30	331	10360
31	340	10296
32	349	10242
33	358	10174
34	366	10112
35	375	10052
36	384	9999
37	393	9955
38	402	9906
39	410	9858
40	419	9822
41	428	9776
42	437	9732
43	445	9690
44	454	9649
45	463	9614
46	472	9571
47	481	9540
48	489	9502
49	498	9472
50	507	9435
51	515	9407
52	524	9372
53	533	9349
54	542	9322
55	551	9291
56	560	9267
57	569	9242
58	578	9218
59	587	9198
60	596	9176
61	605	9157
62	613	9131
63	622	9110
64	631	9086
65	640	9061
66	649	9039
67	657	9016
68	666	8992
69	674	8967
70	683	8949
71	692	8929
72	701	8909
73	710	8887
74	719	8869
75	728	8851
76	736	8831
77	745	8817
78	754	8798
79	763	8783
80	772	8766
81	781	8748
82	790	8731
83	799	8719
84	808	8703
85	817	8683
86	825	8667
87	834	8653
88	843	8635
89	852	8620
90	861	8603
91	870	8586
92	878	8568
93	887	8553
94	896	8537
95	905	8523
96	913	8508
97	922	8494
98	931	8480
99	940	8464
100	949	8451
101	958	8438
102	967	8424
103	975	8408
104	984	8395
105	993	8382
106	1002	8367
107	1011	8355
108	1020	8340
109	1029	8328
110	1038	8313
111	1046	8299
112	1055	8287
113	1065	8278
114	1073	8263
115	1082	8249
116	1090	8233
117	1099	8219
118	1108	8203
119	1116	8191
120	1125	8177
121	1134	8165
122	1143	8153
123	1152	8141
124	1160	8126
125	1169	8114
126	1179	8105
127	1188	8096
128	1197	8084
129	1206	8072
130	1214	8059
131	1223	8048
132	1232	8035
133	1241	8020
134	1249	8005
135	1258	7994
136	1266	7981
137	1275	7969
138	1284	7954
139	1293	7943
140	1301	7931
141	1310	7920
142	1320	7912
143	1329	7906
144	1360	8024
145	1372	8026
146	1383	8029
147	1394	8025
148	1404	8021
149	1414	8017
150	1424	8009
151	1438	8026
152	1452	8041
153	1466	8053
154	1480	8068
155	1490	8061
156	1501	8059
157	1510	8051
158	1520	8042
159	1530	8034
160	1545	8052
161	1564	8094
162	1584	8137
163	1594	8127
164	1604	8117
165	1614	8111
166	1633	8149
167	1642	8134
168	1651	8120
169	1660	8105
170	1668	8090
171	1677	8074
172	1686	8060
173	1694	8045
174	1703	8030
175	1712	8016
176	1721	8002
177	1730	7989
178	1738	7974
179	1747	7961
180	1766	7992
181	1775	7978
182	1793	8007
183	1802	7995
184	1811	7980
185	1820	7966
186	1829	7952
187	1837	7938
188	1846	7924
189	1855	7910
190	1864	7896
191	1873	7882
192	1881	7868
193	1890	7854
194	1899	7841
195	1908	7827
196	1917	7814
197	1936	7843
198	1955	7871
199	2000	8002
200	2009	7988
201	2018	7974
202	2029	7966
203	2038	7953
204	2047	7938
205	2055	7924
206	2065	7910
207	2073	7896
208	2082	7882
209	2091	7868
210	2100	7854
211	2109	7840
212	2118	7826
213	2127	7812
214	2136	7799
215	2145	7785
216	2155	7778
217	2164	7764
218	2173	7750
219	2182	7736
220	2191	7723
221	2200	7709
222	2209	7697
223	2218	7684
224	2226	7669
225	2235	7655
226	2244	7641
227	2252	7627
228	2261	7614
229	2271	7603
230	2279	7588
231	2288	7574
232	2297	7563
233	2306	7551
234	2315	7538
235	2324	7526
236	2333	7513
237	2342	7500
238	2351	7487
239	2370	7506
240	2379	7492
241	2387	7479
242	2396	7466
243	2405	7454
244	2417	7448
245	2427	7439
246	2435	7426
247	2444	7413
248	2453	7400
249	2462	7387
250	2471	7375
251	2480	7363
252	2489	7350
253	2498	7338
254	2507	7326
255	2517	7315
256	2527	7306
257	2536	7295
258	2546	7285
259	2555	7273
260	2564	7262
261	2574	7250
262	2583	7239
263	2592	7227
264	2601	7215
265	2610	7203
266	2619	7191
267	2628	7179
268	2637	7167
269	2646	7154
270	2655	7142
271	2664	7131
272	2674	7121
273	2684	7112
274	2694	7102
275	2703	7090
276	2712	7079
277	2720	7066
278	2729	7053
279	2738	7041
280	2747	7031
281	2756	7018
282	2765	7005
283	2774	6993
284	2783	6982
285	2792	6971
286	2801	6960
287	2810	6948
288	2819	6935
289	2827	6923
290	2837	6912
291	2846	6901
292	2855	6890
293	2864	6879
294	2873	6867
295	2882	6855
296	2891	6843
297	2900	6831
298	2909	6820
299	2918	6809
300	2926	6797
301	2935	6785
302	2944	6774
303	2954	6763
304	2963	6752
305	2972	6741
306	2981	6730
307	2990	6719
308	3000	6710
309	3009	6699
310	3018	6688
311	3027	6676
312	3036	6665
313	3046	6654
314	3054	6643
315	3063	6631
316	3073	6621
317	3082	6610
318	3091	6598
319	3100	6587
320	3108	6576
321	3117	6564
322	3127	6554
323	3135	6542
324	3144	6530
325	3153	6518
326	3161	6507
327	3170	6496
328	3179	6485
329	3188	6474
330	3197	6462
331	3206	6451
332	3215	6439
333	3224	6429
334	3233	6418
335	3242	6407
336	3251	6396
337	3260	6385
338	3269	6374
339	3278	6363
340	3287	6353
341	3296	6342
342	3305	6331
343	3314	6320
344	3323	6310
345	3332	6299
346	3342	6289
347	3351	6278
348	3360	6268
349	3369	6257
350	3378	6246
351	3387	6235
352	3396	6225
353	3405	6214
354	3414	6202
355	3422	6192
356	3431	6180
357	3440	6169
358	3449	6159
359	3458	6147
360	3467	6137
361	3476	6127
362	3485	6117
363	3494	6106
364	3503	6095
365	3512	6084
366	3521	6073
367	3530	6062
368	3539	6051
369	3548	6041
370	3557	6031
371	3566	6021
372	3575	6009
373	3584	5999
374	3593	5988
375	3602	5978
376	3611	5967
377	3620	5956
378	3628	5946
379	3637	5935
380	3646	5924
381	3655	5913
382	3665	5904
383	3674	5894
384	3683	5884
385	3692	5873
386	3701	5863
387	3710	5852
388	3719	5842
389	3728	5831
390	3737	5820
391	3746	5810
392	3754	5799
393	3763	5789
394	3773	5779
395	3782	5769
396	3791	5758
397	3800	5748
398	3809	5738
399	3818	5727
400	3828	5718
401	3837	5707
402	3846	5698
403	3855	5687
404	3864	5676
405	3873	5666
406	3882	5656
407	3891	5646
408	3900	5636
409	3909	5625
410	3918	5615
411	3927	5605
412	3937	5595
413	3945	5585
414	3954	5574
415	3964	5565
416	3973	5555
417	3982	5544
418	3991	5535
419	4000	5524
420	4010	5514
421	4018	5504
422	4028	5494
423	4037	5484
424	4046	5474
425	4055	5464
426	4065	5455
427	4074	5445
428	4083	5435
429	4092	5424
430	4101	5414
431	4110	5404
432	4119	5394
433	4128	5383
434	4137	5373
435	4146	5363
436	4155	5353
437	4164	5343
438	4173	5333
439	4182	5322
440	4191	5312
441	4200	5302
442	4209	5292
443	4217	5281
444	4226	5271
445	4235	5261
446	4245	5251
447	4254	5241
448	4263	5231
449	4272	5221
450	4280	5211
451	4289	5200
452	4298	5190
453	4307	5180
454	4316	5170
455	4325	5160
456	4334	5150
457	4343	5140
458	4352	5130
459	4361	5119
460	4370	5110
461	4379	5100
462	4388	5089
463	4397	5080
464	4406	5070
465	4415	5060
466	4424	5050
467	4433	5040
468	4442	5030
469	4451	5019
470	4460	5009
471	4469	4999
472	4478	4989
473	4487	4979
474	4496	4969
475	4505	4959
476	4514	4949
477	4523	4940
478	4532	4930
479	4542	4920
480	4550	4910
481	4559	4900
482	4568	4890
483	4577	4880
484	4587	4870
485	4595	4860
486	4604	4850
487	4613	4840
488	4622	4830
489	4631	4820
490	4640	4810
491	4649	4801
492	4658	4791
493	4667	4781
494	4676	4771
495	4685	4761
496	4695	4751
497	4703	4741
498	4713	4732
499	4721	4721
500	4730	4711
501	4739	4701
502	4748	4692
503	4757	4682
504	4766	4672
505	4775	4661
506	4783	4651
507	4793	4642
508	4802	4632
509	4812	4623
510	4821	4614
511	4830	4604
512	4840	4595
513	4849	4585
514	4858	4575
515	4868	4566
516	4878	4558
517	4889	4549
518	4898	4539
519	4907	4530
520	4917	4520
521	4926	4511
522	4935	4501
523	4944	4491
524	4953	4481
525	4962	4471
526	4971	4462
527	4980	4452
528	4989	4442
529	4998	4432
530	5007	4422
531	5016	4413
532	5025	4403
533	5034	4393
534	5043	4383
535	5052	4373
536	5061	4364
537	5070	4354
538	5079	4344
539	5088	4334
540	5097	4325
541	5106	4315
542	5115	4305
543	5124	4295
544	5134	4286
