iter	Passed	Remaining
0	58	58444
1	58	29326
2	59	19608
3	59	14744
4	59	11827
5	59	9882
6	59	8498
7	60	7451
8	60	6647
9	60	5995
10	60	5463
11	60	5019
12	61	4642
13	61	4320
14	61	4040
15	61	3796
16	61	3580
17	62	3389
18	62	3217
19	62	3063
20	62	2923
21	62	2796
22	63	2680
23	63	2574
24	63	2476
25	63	2386
26	64	2307
27	64	2229
28	64	2155
29	64	2088
30	64	2024
31	64	1965
32	65	1909
33	65	1857
34	65	1807
35	65	1761
36	65	1717
37	66	1675
38	66	1635
39	66	1598
40	66	1561
41	66	1527
42	67	1495
43	67	1464
44	67	1434
45	67	1406
46	68	1379
47	68	1353
48	68	1328
49	68	1303
50	68	1280
51	69	1258
52	69	1236
53	69	1216
54	69	1196
55	69	1176
56	70	1158
57	70	1140
58	70	1122
59	70	1105
60	70	1089
61	70	1074
62	71	1058
63	71	1044
64	71	1029
65	71	1015
66	71	1002
67	72	989
68	72	976
69	72	964
70	72	952
71	72	940
72	73	928
73	73	917
74	73	907
75	73	896
76	73	886
77	74	876
78	74	866
79	74	857
80	74	847
81	74	838
82	74	828
83	75	820
84	75	812
85	75	804
86	75	796
87	76	787
88	76	780
89	76	772
90	76	765
91	76	757
92	76	750
93	77	743
94	77	737
95	77	730
96	77	724
97	77	717
98	78	711
99	78	705
100	78	699
101	78	693
102	78	687
103	79	682
104	79	676
105	79	671
106	79	665
107	79	660
108	80	655
109	80	650
110	80	645
111	80	640
112	80	635
113	81	630
114	81	626
115	81	621
116	81	616
117	81	612
118	82	608
119	82	603
120	82	599
121	82	594
122	82	591
123	83	587
124	83	583
125	83	579
126	83	575
127	83	571
128	84	568
129	84	564
130	84	560
131	84	557
132	84	554
133	85	550
134	85	547
135	85	543
136	85	540
137	85	536
138	86	533
139	86	530
140	86	527
141	86	523
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	505
148	88	502
149	88	499
150	88	497
151	88	494
152	88	491
153	89	489
154	89	486
155	89	484
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	470
162	91	467
163	91	465
164	91	463
165	91	461
166	91	458
167	92	456
168	92	454
169	92	451
170	92	449
171	92	447
172	93	445
173	93	443
174	93	441
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	96	415
188	96	413
189	96	411
190	96	409
191	96	407
192	97	406
193	97	404
194	97	402
195	97	400
196	97	399
197	98	397
198	98	395
199	98	393
200	98	392
201	98	391
202	99	389
203	99	387
204	99	386
205	99	384
206	99	382
207	100	381
208	100	379
209	100	378
210	100	376
211	100	375
212	101	373
213	101	372
214	101	370
215	101	369
216	101	368
217	102	366
218	102	365
219	102	363
220	102	362
221	103	361
222	103	359
